Meanings,English Definition,POS,J Translation
repertoire,a collection of skills or accomplishments.,n,レパートリー
obtain,To be given or to earn something through efforts,verb,得る
distribution,- in statistics: an arrangement of values showing frequency of occurrence - in engineering: the way in which the fuel-air mixture is supplied to each cylinder of an engine - in commerce: delivery of products or services.,n,配布；分布；流通
parameter,"a characteristic or constant factor, a limit.",n,パラメーター
aspect,"an element, feature, or quality of something",n,面；様相
dynamic,always active or changing; in physics: a force related to motion,adj,動的な; 活動的な
impact,a striking effect or result to hit with force,n,影響，影響を与える
domain,"a field of action, thought or influence; an area of knowledge",n,領域；ドメイン
publish,"to prepare a book, journal, magazine and make it available",verb,出版する；発表する
denote,be a name or symbol for,verb,示す
authority,"people in positions of power, able to decide things",n,権力者； 権限者
semantic,the different meanings of words,adj,意味の
par,the usual amount,n,等価；平均；額面価格
ion,a charged atom,n,イオン
matrix,"a substance, situation, or environment in which something has its origin - in math: an arrangement of numbers in rows and columns",n,マトリックス；基質
linear,made of lines,adj,線形の
cognitive,the process of knowing and remembering,adj,認知の
graph,image expressing numerical data in lines or shapes,n,図表；グラフ
correlation,a measure of the relationship between two variables,n,相互関係
linguistic,belonging to language,adj,言語の
acid,sour substance that reacts with metals e.g. lemon,n,酸
induce,"to cause, to persuade",verb,誘発する
velocity,speed in a given direction,n,速度
interval,"the distance between two points, numbers or times",n,間隔；区間
discourse,"talk, conversation",n,談話
finite,having limits; lasting for a limited time,adj,有限の
stimulus,something that makes a change.,n pl.,刺激
vector,a quantity that has both size and direction.,n,ベクトル
electron,a negatively charged particle,n,電子
receptor,a device that receives information; in physiology: a nerve ending that changes stimuli into impulses,n,受容体
theorem,a statement that can be proved,n,定理
algorithm,a step-by-step problem-solving feature,n,アルゴリズム
fluid,a material that can easily flow. e.g. water,adj,流体（名）、 流動的な（形）
developmental,concerning the development or growth,adj,発達上の
bound,to go to a specified place; to jump,verb,縛られた
molecular,about or caused by molecules,adj,分子の
transformation,a complete change in shape or form of something,n,変換
spatial,about space,adj,空間的な
coefficient,a number multiplied by a variable in an algebraic expression.,adj,係数
translation,changing from one form to another. e.g. changing from one language to another,n,翻訳
membrane,a thin covering of tissue.,n,膜
neuron,a nerve cell; the basic building block of the nervous system.,n,ニューロン
simulation,a copy; a method that is used to study and analyze the characteristics of the real world,n,シミュレーション
lexical,about words,adj,語彙の
regime,a system of management; a form of government,n,政権；体制
variance,(statistics) amount of difference in distributions,n,分散
molecule,two or more atoms chemically combined,n,分子
marker,something that is easy to recognize or identify,n,標識；マーカー 
empirical,based on observation or experiment,adj,実証的な；経験による
robot,a mechanical creature that acts like a human,n,ロボット
statistical,about statistics,adj,統計的
vowel,"a speech sound; a, e , i, o, u and sometimes y",n,母音
equilibrium,a state of balance,n,平衡
intensity,"great energy, strength, or concentration",n,激しさ；強度
regression,going back; in statistics: a type of correlational procedure that focuses on predicting the values of an outcome based on its correlation with another variable.,n,退行
diagnosis,a judgment by a doctor about a person’s illness,n pl.,診断
identification,(card or paper) that proves who a person is,n,確認；識別；身分証明書
node,an intersection or junction point in a network; a part on a plant where a new leaf grows,n,こぶ；結節
candidate,a person who is selected by others as a contestant for an office or honor,n,候補者
partial,not complete; being only part of something,adj,部分的な；不公平な
correlate,to show the relationship between two items or events.,verb,相関がある
mortality,the quality or state of being human and being able to die,n,死亡率
antibody,a defense provided by the body against disease,n,抗体
temporal,concerning time,adj,一時的な
particle,a very small piece of something,n,粒子
duration,the length of time that something lasts,n,持続；継続期間
behavioral,concerning the way people act,adj,行動の
consumption,how much is spent on things; the process of eating and drinking,n,消費
bilingual,being able to speak two languages well,adj,バイリンガル
sensitivity,being sensitive; in physiology: the ability of an organism or part of an organism to react to stimuli; in electronics: the ability of a radio device to react to incoming signals,n,感受性；感度
similarity,the degree to which people or things are the same,n,類似
optimal,best,adj,最適な
explicit,definite; clearly stated; specific,adj,明示的な
mutation,a change; in genetics: any event that changes genetic structure,n,突然変異
colonial,of a system where one country controls another,adj,植民地の
phonological,concerning sound,adj,音韻的な
spectrum,the wavelengths of colors from red to violet,n,スペクトル
nucleus,control center of a cell,n pl.,核
onset,the beginning,n,開始
integration,act of bringing things together into a whole,n,統合
dominant,strongest,adj,支配的な
pathway,a path or way that you can walk,n,経路
coordinate,to bring order and organization to something; in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.,verb,調整する； まとめる
calculation,process or result of using mathematics,n,計算
precede,to go before,verb,先行する
subset,a small set which is part of a larger set,n,少派
syntactic,grammatical,adj,構文
orientation,"the ability to locate oneself in your environment with reference to time, place, and people",n,適応；オリエンテーション；方向性；位置
proposition,an idea; a suggestion,n,提案；命題
inequality,situation where things are not equal/fair,n,不平等
identical,the same in every way,adj,同一の
prevalence,"widespread, common, general",n,流行
differential,difference; diversity,adj,区別を示す
generalize,To apply a particular idea to a large group,verb,一般化する
beam,a long piece of metal or wood; a line of light or energy,n,梁（はり）；光線；ビーム
pulse,beat of the heart,n,脈拍
norm,an established standard of performance or behavior,n,規範；基準
trait,a characteristic,n,特徴
prediction,a statement of what will happen next.,n,予測
correspondence,"Communication by letters, emails or text messages",n,文通； 通信
essentially,"basically, primarily",adv,本質的に
syllable,a unit of speech,n,音節
chromosome,cell structures that carry the genetic material that is copied and passed to the next generation.,n,染色体
infect,to give someone a disease,verb,感染する
magnetic,"having the properties of a magnet, being able to attract.",adj,磁気の
configuration,a shape or outline; a method of arrangement,n,形状
numerical,includes numbers,adj,数値
namely,"that is to say, specifically",adv,すなわち；つまり
intermediate,between,adj,中級の；中間の
transmission,an electronic signal that has been sent by radio waves; a force that has been transferred from one machine to another,n,伝送；通信
dose,an amount of medicine to be taken at any one time,n,服用量
occurrence,specific instance of something happening,n,発生；出来事
maternal,having to do with being a mother,adj,母性の
axis,"a line about which a rotating body, such as the earth, turns.",n,軸
rational,sensible; based on facts,adj,合理的な
locus,a place or location; in genetics: the location of a gene on a chromosome,n,軌跡
elite,important people of high status,n,エリート、上流階級、幹部
approximation,"something that is similar, but not an exact copy",n,近似
thesis,a long essay; a position taken in an argument supported by a set of reasons,n,論文；命題
sin,a bad act; to do something bad,n,罪
classification,putting similar items into groups or sets,n,分類
threshold,a level or point at which something would start or stop happening.,n,しきい値
syndrome,a group of signs and symptoms that accompany a disease,n,症候群
comparative,expressing a difference in degree,adj,比較の
activate,To make something start working,verb,始動する
adolescent,Teenager developing into an adult,n,青春期の若者
vocabulary,the words that a person knows,n,語彙
encode,to change a message or information into code,verb,暗号化する
utterance,something that is said,n,発話
facilitate,To make an action or process easier,verb,促進する
incidence,the rate that something happens,n,発生率
induction,"bringing about, or causing",n,誘導
trajectory,the path followed by an object moving through space,n,弾道
manuscript,"a document, a piece of writing",n,原稿
commonly,"typically, normally; not unusually",adv,一般に
grammatical,concerning grammatical rules,adj,文法の
accuracy,being exactly right; correctness,n,正確さ
adaptation,changing to a new form; thing that is changed,n,適応
amplitude,"the breadth, width or largeness of something",n,振幅
cortex,the outer part of an organ or structure,n,皮質
minimal,the smallest possible,adj,最小の
systematic,"done in a thorough, logical or planned way",adj,体系的な；組織的な
horizontal,flat or level,adj,水平の
projection,an image on a screen,n,投影；投射
synthesis,building something complex from simple parts,n pl.,合成
diameter,the distance across the center of an object,n,直径
cone,a 3D shape with a circular base; a part of the eye,n,円錐
dependence,relying on someone for (financial) support,n,依存
organism,"living thing, often one that is small",n,生命体
emergence,the process of emerging/coming out,n,出現
overlap,To lie over or cover a part of something else,verb,重複，重なる
substitution,a person or thing acting or serving in place of another; to put (a person or thing) in the place of another.,n,代用；置換
explicitly,clearly; specifically,adv,明示的に
evident,"plain, clear",adj,明らかな
conceptual,characterized by concepts or the forming of concepts,adj,概念の
detection,the act of discovering something or solving a crime,n,発見；検出
interact,"an action that is answered by a reaction, verbal or physical",verb,相互に作用する
neural,about the nerves or nervous system,adj,神経の
chronic,over a long time; serious,adj,慢性的な
integral,part of something,adj,不可欠な
enzyme,a protein made by cells,n,酵素
