repertoire,repertoires,,,,,,,,
obtain,obtains,obtained,obtaining,obtainings,,,,,
distribution,distributions,,,,,,,,
parameter,parameters,,,,,,,,
aspect,aspects,,,,,,,,
dynamic,dynamics,,,,,,,,
impact,impacts,impacted,impacting,impactings,,,,,
domain,domains,,,,,,,,
publish,publishes,published,publishing,publishings,,,,,
denote,denotes,denoted,denoting,denotings,,,,,
authority,authorities,,,,,,,,
semantic,semantics,,,,,,,,
par,pars,parred,parring,parrings,,,,,
ion,ions,,,,,,,,
matrix,matrices,matrixes,,,,,,,
linear,linears,,,,,,,,
cognitive,,,,,,,,,
graph,graphs,graphed,graphing,graphings,,,,,
correlation,correlations,,,,,,,,
linguistic,,,,,,,,,
acid,acids,,,,,,,,
induce,induces,induced,inducing,inducings,,,,,
velocity,velocities,,,,,,,,
interval,intervals,,,,,,,,
discourse,discourses,discoursed,discoursing,discoursings,,,,,
finite,,,,,,,,,
stimulus,stimuli,,,,,,,,
vector,vectors,,,,,,,,
electron,electrons,,,,,,,,
receptor,receptors,,,,,,,,
theorem,theorems,,,,,,,,
algorithm,algorithms,,,,,,,,
fluid,fluids,,,,,,,,
developmental,developmentals,,,,,,,,
bound,bounds,bounded,bounding,boundings,,,,,
molecular,moleculars,,,,,,,,
transformation,transformations,,,,,,,,
spatial,spatials,,,,,,,,
coefficient,coefficients,,,,,,,,
translation,translations,,,,,,,,
membrane,membranes,,,,,,,,
neuron,neurons,neurone,neurones,,,,,,
simulation,simulations,,,,,,,,
lexical,lexicals,,,,,,,,
regime,regimes,régime,régimes,,,,,,
variance,variances,,,,,,,,
molecule,molecules,,,,,,,,
marker,markers,,,,,,,,
empirical,empiricals,,,,,,,,
robot,robots,,,,,,,,
statistical,statisticals,,,,,,,,
vowel,vowels,,,,,,,,
equilibrium,,,,,,,,,
intensity,intensities,,,,,,,,
regression,regressions,,,,,,,,
diagnosis,,,,,,,,,
identification,identifications,,,,,,,,
node,nodes,,,,,,,,
candidate,candidates,,,,,,,,
partial,partials,,,,,,,,
correlate,correlates,correlated,correlating,correlatings,,,,,
mortality,mortalities,,,,,,,,
antibody,antibodies,,,,,,,,
temporal,temporals,,,,,,,,
particle,particles,,,,,,,,
duration,durations,,,,,,,,
behavioral,behavioural,,,,,,,,
consumption,consumptions,,,,,,,,
bilingual,bilinguals,,,,,,,,
sensitivity,sensitivities,,,,,,,,
similarity,similarities,,,,,,,,
optimal,optimals,,,,,,,,
explicit,,,,,,,,,
mutation,mutations,,,,,,,,
colonial,colonials,,,,,,,,
phonological,phonologicals,,,,,,,,
spectrum,spectrums,spectra,,,,,,,
nucleus,nuclei,,,,,,,,
onset,onsets,,,,,,,,
integration,integrations,,,,,,,,
dominant,,,,,,,,,
pathway,pathways,,,,,,,,
coordinate,coordinates,coordinated,coordinating,coordinatings,,,,,
calculation,calculations,,,,,,,,
precede,precedes,preceded,preceding,precedings,,,,,
subset,subsets,,,,,,,,
syntactic,syntactics,,,,,,,,
orientation,orientations,,,,,,,,
proposition,propositions,propositioned,propositioning,propositionings,,,,,
inequality,inequalities,,,,,,,,
identical,identicals,,,,,,,,
prevalence,prevalences,,,,,,,,
differential,differentials,,,,,,,,
generalize,generalizes,generalized,generalizing,generalise,generalises,generalised,generalising,generalisings,
beam,beams,beamed,beaming,beamings,,,,,
pulse,pulses,pulsed,pulsing,pulsings,,,,,
norm,norms,,,,,,,,
trait,traits,,,,,,,,
prediction,predictions,,,,,,,,
correspondence,correspondences,,,,,,,,
essentially,,,,,,,,,
syllable,syllables,syllabled,,,,,,,
chromosome,chromosomes,,,,,,,,
infect,infects,infected,infecting,infectings,,,,,
magnetic,magnetics,,,,,,,,
configuration,configurations,,,,,,,,
numerical,numericals,,,,,,,,
