Rank,Lemma,POS,Definition,
1,the,article,used to point to something already mentioned,その
2,be,verb,used to show the identity of a thing,である
3,and,conjunction,used to join words or groups of words,～と
4,of,preposition,belonging to or connected with something,の
5,to,preposition,used to indicate place or direction,～へ
6,a,article,one particular thing or one of a class of things,一つの
7,in,preposition,used to indicate being inside of or surrounded by something else,～の中
8,have,verb,"to own, possess, or hold something",持つ
9,it,pronoun,a thing that has been previously mentioned,それ
10,you,pronoun,used to refer to the person the speaker is addressing,あなた
11,he,pronoun,used to refer to a male person that is the subject,彼
12,for,preposition,indicating the purpose or need of something,～のため
13,they,pronoun,"used to refer to two or more people, animals, or things",彼ら
14,not,adverb,used to make an expression negative,～でない
15,that,adjective,"used to identify a specific person, thing, fact or idea",あの
16,we,pronoun,used to refer to the speaker and another person as the subject,私たち
17,on,preposition,touching and being supported or physically in contact by something,～に接して
18,with,preposition,used to express that people or things are together,～と一緒
19,this,adjective,"used to identify a specific person, thing, or idea that is close",この
20,I,pronoun,the person who is speaking or writing,私は
21,do,verb,to perform an action or activity; to work on something,する
22,as,conjunction,used to refer to the same degree or amount,～のように
23,at,preposition,"used to indicate place, location, or arrival",～で
24,she,pronoun,used to refer to a female that is the subject,彼女
25,but,conjunction,used to contrast a statement with a to previous one,でも
26,from,preposition,indicating the starting point of motion or action ,～から
27,by,preposition,"close to or next to, up to and beyond, beside a place",の近くに
28,will,verb,"expressing the future, to say something is expected to happen",～だろう
29,or,conjunction,"used to link alternatives, to introduce another choice",～か
30,say,verb,to use your voice to express something with words,言う
31,go,verb,to move or travel from one place to another,行く
32,so,adverb,to a  degree that is suggested or stated,とても
33,all,determiner,"the whole, entire or total amount",全て
34,if,conjunction,introducing a condition for something to happen,もし
35,one,noun,"the number 1, a single person or thing",1、ひとり、ひとつ
36,would,verb,indicating someone thinking about what will happen,～だろう
37,about,preposition,"on the subject of, or concerning something",～について
38,can,verb,to be able to do something,～できる
39,which,pronoun,"what one or ones of a group, one or more people or things",どちらか
40,there,adverb,"in that place or position, at that location",そこ
41,know,verb,"to have in your mind, be aware of something",知る
42,more,adverb,"greater in amount, number, or size",もっと
43,get,verb,"to obtain, receive or be given something",得る
44,who,pronoun,"what or which person or people, to ask about, talking about",誰
45,like,verb,to find something agreeable or enjoyable,好む
46,when,adverb,"at what time, at, in, during which, how soon",どこ
47,think,verb,to believe or have a particular idea,思う
48,make,verb,"to build, create, or produce something",作る
49,time,noun,"something measured in minutes, hours, days, etc.",時間
50,see,verb,to notice or become aware of with the eyes,見る
51,what,pronoun,asking for information about someone or something,なに
52,up,adverb,to move towards a high place from a lower one,上がる
53,some,adjective,used to refer to an unspecified amount or number,いくらか
54,other,adjective,used to mention a person or thing is different from already mentioned,他
55,out,adverb,in a direction or movement away from the inside or center,外へ
56,good,adjective,of high quality,良い
57,people,noun,"human beings in general, plural of person",人々
58,year,noun,a unit of time equal to 12 months or 365 days,年
59,take,verb,"to carry or move with one's hands, to reach for",持っていく、取る
60,no,adverb,"not at all, in a way that shows a negative response",いいえ、ない
61,well,adverb,"in a successful way, in a good or satisfactory way",上手く、上手に
62,because,conjunction,for a reason,なぜならば
63,very,adverb,to a high degree,とても
64,just,adverb,"exactly, to an exact degree or manner",ただ～
65,come,verb,"to move toward someone, to approach",来る
66,could,verb,"used as the past tense of can, to indicate possibility",できた
67,work,verb,to have a job or activity involving mental or physical effort,働く
68,use,verb,to do something with another thing,使う
69,than,conjunction,used to introduce a second part that is being compared,～より
70,now,adverb,at the present time or moment,今
71,then,adverb,"at that time, at the time mentioned, after that",その時、それから
72,also,adverb,"in addition, too, in a similar way",～もまた
73,into,preposition,introduce movement toward the inside of something,～の中に
74,only,adverb,alone in a class or category,たった
75,look,verb,to direct one's gaze in a particular direction,見る
76,want,verb,to desire or wish for,欲しい
77,give,verb,to hand over or present something to another,与える
78,first,ord,coming before all others in time or place,最初
79,new,adjective,"not old, recently born, built or created",新しい
80,way,noun,a manner or characteristic of something,方法
81,find,verb,to discover something,見つける
82,over,preposition,in an upward direction across something,超える
83,any,determiner,used to refer to something not particular or specific,何か
84,after,preposition,"following in time, at a later time",後で
85,day,noun,each of the 24 hours beginning at midnight,日
86,where,adverb,to be in at or in what place?,どこ
87,thing,noun,"an object, animal, or quality doesn't have a specific name",物
88,most,adverb,almost all of something,もっとも
89,should,verb,used to indicate what is proper or reasonable,～すべき
90,need,verb,require because it is essential or important,必要とする
91,much,adverb,large in amount or extent,たくさん
92,right,adjective,"to be true, correct or acceptable",正しい
93,how,adverb,by what means or manner?,どのようにして
94,back,noun,the rear surface of something,背
95,mean,verb,to have in mind as your purpose or intention,～するつもりだ
96,even,adverb,"being flat, equal or smooth ",平らな、等しい
97,may,verb,used to express possibility or probability,かもしれない
98,here,adverb,"in this place, at this location or position",ここ
99,many,determiner,used to refer a large number of things,たくさん
100,such,adjective,like or similar,そのような
101,last,ord,"coming after others, final",最後
102,child,noun,a young person,子供
103,tell,verb,to say or communicate information to someone,話す
104,really,adverb,very or very much,本当に
105,call,verb,"to speak, announce or shout in a loud voice",呼ぶ
106,before,preposition,"at an earlier time, in front of",以前
107,company,noun,a business that sells thing or provides services,会社
108,through,preposition,into one side and out of the other side,～の間
109,down,adverb,going from a higher position to a lower position,下へ
110,show,verb,to cause or allow to be seen,見せる
111,life,noun,the existence of a human being or animal,生命
112,man,noun,an adult male human being,男性
113,change,verb,to make or become different,変える
114,place,noun,a particular area or region,場所
115,long,adjective,extending a great distance ,長い
116,between,preposition,in the space that separates to objects,～の間
117,feel,verb,to be aware of or experience an emotion or sensation,感じる
118,too,adverb,"in addition, also",～もまた
119,still,adverb,used to express that an action or condition continues,まだ
120,problem,noun,something that is difficult to deal with or needs to overcome,問題
121,write,verb,to compose letters and words on a surface,書く
122,same,adjective,"identical, not different",同じ
123,lot,noun,a small piece of land that is or could be used for building something or for some other purpose ,用地
124,great,adjective,"very large in size, extent or amount",巨大な、多量の
125,try,verb,"to make an effort, to attempt to do something",試す
126,leave,verb,"to go away from, depart from",去る
127,number,noun,a word or symbol that stands for a specific amount or quantity,数字
128,both,determiner,used to emphasis two things at the same time,両方とも
129,own,determiner,when something belongs to someone,自身の
130,part,noun,one of the pieces of a whole,部品
131,point,noun,an idea that you try to make others accept or understand,主張
132,little,adjective,"small in size, amount, or degree",少し、小さい
133,help,verb,to assist in order to make it easier for someone to do a job,助ける
134,ask,verb,to request,求める
135,meet,verb,to be introduced for the first time,会う
136,start,verb,to begin doing something,始める
137,talk,verb,using words to express opinions or give information,話す
138,something,pronoun,"a thing that is not yet know, specified or named",何か
139,put,verb,to move or place in a particular position,置く
140,another,determiner,one more in addition,もう一つ
141,become,verb,"to begin to be, grow to be, develop into",なる
142,interest,noun,a feeling of wanting to know or learn about something,興味
143,country,noun,"an area, nation that is controlled by government",国
144,old,adjective,"having lived for many years, no longer young",古い
145,each,adjective,every one of two more things,各々
146,school,noun,a place where children go to learn,学校
147,late,adjective,happening near the end of a given time,遅れる
148,high,adjective,rising upward a great distance,高い
149,different,adjective,"not of the same kind, unlike in nature",違う
150,off,adverb,away from a place or at a distance,離れて
151,next,ord,coming immediately after this time,次
152,end,noun,a point that marks the limit of something,終わり
153,live,verb,"to be alive, to remain or continue to be alive",生きる
154,why,adverb,for what reason or purpose,なぜ
155,while,conjunction,"during the time that, at the same time",間
156,world,noun,the earth and all people and things on it,世界
157,week,noun,"a period of seven days,  starts on Sunday and end on Saturday",週
158,play,verb,to do activities for fun or enjoyment,遊ぶ
159,might,verb,to say something is possible,～かもしれない
160,must,verb,used to say that something is required or necessary,～しなければならない
161,home,noun,the place where a person or a family lives,住まい
162,never,adverb,"not ever, not at any time",決して～しない
163,include,verb,to have as a part of a group,含む
164,course,noun,the route or direction that something moves along,進路
165,house,noun,a building in which a family lives,家
166,report,noun,a story given about a particular matter,報告
167,group,noun,a number of people or things located or gathered together,集団
168,case,noun,an example or instance of something,事例
169,woman,noun,an adult female human being,女性
170,around,preposition,located on every side or along something,～の周りに
171,book,noun,a printed or written work that is bound together and has a cover,本
172,family,noun,a group of people who are related to each other,家族
173,seem,verb,to appear to be something,～のように思われる
174,let,verb,to allow or permit to do something,させる
175,again,adverb,"one more time, once more",再び
176,kind,adjective,"having a friendly, gentle nature",親切
177,keep,verb,to continue holding or retaining possession of,保つ
178,hear,verb,"to be aware of sound, to perceive with the ear",聞く
179,system,noun,a set of related parts that move or work together,システム
180,every,determiner,including each person or thing in a group,毎
181,question,verb,to ask for or elicit information,質問する
182,during,preposition,throughout the entire time,間
183,always,adverb,at all times,いつも
184,big,adjective,large in size or extent,大きい
185,set,verb,to put or stand something in a place or position,設置する
186,small,adjective,"little in size, not great in amount",小さい
187,study,verb,devoting time to learn about something,勉強する、研究する
188,follow,verb,"to come after, to move or travel behind",ついて行く
189,begin,verb,"to do the first part of an action, to start",始める
190,important,adjective,having great significance,大切
191,since,conjunction,"because, for the reason that",～なので、～だから
192,run,verb,to move with your legs at a speed that is faster than walking,走る
193,under,preposition,to be below something,下に
194,turn,verb,to move around a central point,回る
195,few,determiner,"not many, a small number",少し
196,bring,verb,"to take or go with to a place,",持っていく
197,early,adjective,"at or near the beginning of time, done before the expected time",早い
198,hand,noun,the body parts at the end of a person's arm,手
199,state,noun,a way of living or existing,状態
200,move,verb,to cause to go in a specified direction or manner,動かす
201,money,noun,something used to pay for goods and services,金
202,fact,noun,something that is known or proved to be true,事実
203,however,adverb,used to introduce a different statement,しかし
204,area,noun,a part or section in a large place,地域
205,provide,verb,"to make available, to supply for use",提供する
206,name,noun,a word that addressed or refers to a specific person,名前
207,read,verb,to look at and comprehend the meaning of something written,読む
208,friend,noun,a person who you like and enjoy being with,友達
209,month,noun,one of the 12 periods of time a year is broken into  ,口
210,large,adjective,"great in size, extent, or capacity",大きい
211,business,noun,"the activity of making, buying, selling or providing goods",ビジネス、商売
212,without,preposition,"not having or including something, in the absence of",～なしに
213,information,noun,"facts or data about a situation, person, event, etc.",情報
214,open,adjective,not closed,開いている
215,order,noun,an instruction or direction that must be obeyed,命令
216,government,noun,the group of people who officially control a country,政府
217,word,noun,a unit of language that has a meaning,語
218,issue,noun,problems that people are talking or thinking about,問題
219,market,noun,a place that products are bought and sold,市場
220,pay,verb,give money for goods or work done,はらう
221,build,verb,to construct by putting parts or materials together,建てる
222,hold,verb,to have or keep in your hand,手に持つ
223,service,noun,the action of helping or doing work for someone,奉仕、勤務
224,against,preposition,in opposition to,反対に、逆らって
225,believe,verb,to accept that something is true,信じる
226,second,ord,"a unit of time, one sixtieth of a minute",秒
227,though,conjunction,"although, despite the fact that",だが
228,yes,interjection,"used to give a positive answer or reply to a question, request, or offer ",はい
229,love,noun,feel great affection for,愛
230,increase,verb,"to become larger or greater in size, amount, or degree",増える
231,job,noun,the regular work of earning money,仕事
232,plan,noun,"a set of actions as a way to do, detailed proposal for doing",予定
233,result,noun,a thing that is caused by something else that happened,結果
