Word,Definition
be,used to show the identity of a thing
the,used to point to something already mentioned
you,used to refer to the person the speaker is addressing
and,used to join words or groups of words
it,a thing that has been previously mentioned
to,used to indicate place or direction
a,something that is being considered
have,"to own, possess, or hold something"
of,belonging to or connected with something
do,to perform an action or activity; to work on something
not,used to make an expression negative
that,"used to identify a specific person, thing, fact or idea"
they,"used to refer to two or more people, animals, or things"
we,used to refer to the speaker and another person as the subject
in,used to indicate being inside of or surrounded by something else
he,used to refer to a male person that is the subject
know,"to have in your mind, be aware of something"
get,"to obtain, receive or be given something"
go,to move or travel from one place to another
so,to a  degree that is suggested or stated
this,"used to identify a specific person, thing, or idea that is close"
but,used to contrast a statement with a to previous one
on,touching and being supported or physically in contact by something
pause,a temporary stop : a period of time in which something is stopped before it is started again 
I,the person who is speaking or writing
unclear,not easy to understand
for,indicating the purpose or need of something
think,to believe or have a particular idea
like,to find something agreeable or enjoyable
there,"in that place or position, at that location"
will,"expressing the future, to say something is expected to happen"
say,to use your voice to express something with words
she,used to refer to a female that is the subject
what,asking for information about someone or something
just,"exactly, to an exact degree or manner"
well,"in a successful way, in a good or satisfactory way"
one,"the number 1, a single person or thing"
with,used to express that people or things are together
if,introducing a condition for something to happen
at,"used to indicate place, location, or arrival"
all,"the whole, entire or total amount"
about,"on the subject of, or concerning something"
or,"used to link alternatives, to introduce another choice"
as,used to refer to the same degree or amount
would,indicating someone thinking about what will happen
then,"at that time, at the time mentioned, after that"
because,for a reason
right,"to be true, correct or acceptable"
can,to be able to do something
no,"not at all, in a way that shows a negative response"
up,to move towards a high place from a lower one
mean,to have in mind as your purpose or intention
out,in a direction or movement away from the inside or center
see,to notice or become aware of with the eyes
thing,"an object, animal, or quality doesn't have a specific name"
yes,"used to give a positive answer or reply to a question, request, or offer "
when,"at what time, at, in, during which, how soon"
really,very or very much
want,to desire or wish for
come,"to move toward someone, to approach"
now,at the present time or moment
some,used to refer to an unspecified amount or number
good,of high quality
from,indicating the starting point of motion or action
time,"something measured in minutes, hours, days, etc."
people,"human beings in general, plural of person"
very,to a high degree
yeah,yes
make,"to build, create, or produce something"
look,to direct one's gaze in a particular direction
two,the number 2
take,"to carry or move with one's hands, to reach for"
here,"in this place, at this location or position"
which,"what one or ones of a group, one or more people or things"
could,"used as the past tense of can, to indicate possibility"
work,to have a job or activity involving mental or physical effort
more,"greater in amount, number, or size"
who,"what or which person or people, to ask about, talking about"
other,used to mention a person or thing is different from already mentioned
laugh,to show that you are happy or that you think something is funny by smiling and making a sound from your throat
where,to be in at or in what place?
use,to do something with another thing
something,"a thing that is not yet know, specified or named"
how,by what means or manner?
back,the rear surface of something
year,a unit of time equal to 12 months or 365 days
by,"close to or next to, up to and beyond, beside a place"
any,used to refer to something not particular or specific
lot,a small piece of land that is or could be used for building something or for some other purpose 
way,a manner or characteristic of something
put,to move or place in a particular position
down,going from a higher position to a lower position
give,to hand over or present something to another
sort,a group of people or things that have some shared quality
three,the number 3
much,large in amount or extent
actually,used when you are saying what is the truth of a situation
need,require because it is essential or important
talk,using words to express opinions or give information
kind,"having a friendly, gentle nature"
tell,to say or communicate information to someone
only,alone in a class or category
should,used to indicate what is proper or reasonable
over,in an upward direction across something
little,"small in size, amount, or degree"
day,each of the 24 hours beginning at midnight
into,introduce movement toward the inside of something
bit,a small piece of something
try,"to make an effort, to attempt to do something"
why,for what reason or purpose
okay,used when agreeing to do something or when allowing someone to do something
off,away from a place or at a distance
first,coming before all others in time or place
than,used to introduce a second part that is being compared
too,"in addition, also"
five,the number 5
let,to allow or permit to do something
call,"to speak, announce or shout in a loud voice"
four,the number 4
last,"coming after others, final"
start,to begin doing something
quite,"to a very large degree, very"
still,used to express that an action or condition continues
find,to discover something
probably,used to mean that something is very likely
even,"being flat, equal or smooth "
might,to say something is possible
through,into one side and out of the other side
point,an idea that you try to make others accept or understand
anything,"a thing of any kind, used to refer to a thing, no matter what"
laughter,the action or sound of laughing
week,"a period of seven days,  starts on Sunday and end on Saturday"
before,"at an earlier time, in front of"
again,"one more time, once more"
problem,something that is difficult to deal with or needs to overcome
never,"not ever, not at any time"
same,"identical, not different"
big,large in size or extent
feel,to be aware of or experience an emotion or sensation
ask,to request
question,to ask for or elicit information
also,"in addition, too, in a similar way"
different,"not of the same kind, unlike in nature"
sure,"completely confident of being right, not having any doubt"
long,extending a great distance
always,at all times
school,a place where children go to learn
happen,to take place or occur
course,the route or direction that something moves along
keep,to continue holding or retaining possession of
another,one more in addition
nice,giving pleasure or joy : good and enjoyable 
read,to look at and comprehend the meaning of something written
hundred,the number 100
leave,"to go away from, depart from"
many,used to refer a large number of things
after,"following in time, at a later time"
thank,to tell (someone) that you are grateful for something that he or she has done or given
meet,to be introduced for the first time
stuff,"materials, supplies, or equipment "
end,a point that marks the limit of something
number,a word or symbol that stands for a specific amount or quantity
hear,"to be aware of sound, to perceive with the ear"
next,coming immediately after this time
six,the number 6
pay,give money for goods or work done
money,something used to pay for goods and services
place,a particular area or region
remember,to bring a previous image or idea to your mind
maybe,possibly but not certainly : perhaps
old,"having lived for many years, no longer young"
test,a set of questions designed to measure a person's ability
home,the place where a person or a family lives
change,to make or become different
though,"although, despite the fact that"
house,a building in which a family lives
new,"not old, recently born, built or created"
live,"to be alive, to remain or continue to be alive"
part,one of the pieces of a whole
kid,a child or young person
interest,a feeling of wanting to know or learn about something
around,located on every side or along something
write,to compose letters and words on a surface
most,almost all of something
move,to cause to go in a specified direction or manner
every,including each person or thing in a group
today,"this day, this present day, at the present time"
twenty,the number 20
else,in a different or additional manner or place
anyway,despite something that has been stated before 
child,a young person
buy,to get something by paying money for it;  purchase
fact,something that is known or proved to be true
play,to do activities for fun or enjoyment
great,"very large in size, extent or amount"
job,the regular work of earning money
seem,to appear to be something
man,an adult male human being
night,the period of time of darkness between sunset and sunrise
away,at a distance from a particular person or place
pound, a unit of weight that is equal to 16 ounces or 0.4536 kilograms 
issue,problems that people are talking or thinking about
own,when something belongs to someone
area,a part or section in a large place
half,one of two equal parts something can be divided into
bad,"low or poor in quality, not correct or proper"
round,shaped like a circle or ball 
eight,the number 8
help,to assist in order to make it easier for someone to do a job
ten,the number 10
whole,"complete or full, all of something"
everything,every thing there is or all that exists
minute,a period of time equal to 60 seconds
may,used to express possibility or probability
whether,expressing a doubt between alternatives
student,a person who attends a school
guess, to form an opinion or give an answer about something when you do not know much or anything about it 
whatever,anything or everything that or no matter what
car,a vehicle with four wheels and engine that can carry things
sit,to be in a resting position on a chair or couch
bring,"to take or go with to a place,"
book,a printed or written work that is bound together and has a cover
name,a word that addressed or refers to a specific person
run,to move with your legs at a speed that is faster than walking
show,to cause or allow to be seen
word,a unit of language that has a meaning
suppose,to think of something as happening or being true in order to imagine what might happen
morning,the early part of the day
must,used to say that something is required or necessary
understand,"to know, to perceive or comprehend something"
month,one of the 12 periods of time a year is broken into
both,used to emphasis two things at the same time
idea,"a thought, suggestion, opinion or plan"
seven,the number 7
pretty,large or impressive
somebody,"person who is not known, named, or specified"
able,"having the power, skill, money, or means to do something"
item,"an individual article, unit or piece of information"
hour,a period of time equal to 60 minutes
side,a position or direction that is away from the center
enough,"equal to what is needed, as much as required"
ever,"at any time, at all times"
important,having great significance
late,happening near the end of a given time
turn,to move around a central point
between,in the space that separates to objects
thousand,the number 1000
few,"not many, a small number"
term,a word or phrase that describes something else
life,the existence of a human being or animal
nine,the number 9
believe,to accept that something is true
far,to a great distance in space or time
sorry,feeling sorrow or regret 
set,to put or stand something in a place or position
thirty,the number 30
nothing,"not anything, no a single thing"
case,an example or instance of something
real,"actually existing or happening, not imagined or supposed"
second,"a unit of time, one sixtieth of a minute"
mind,"the part of person that enables us to think, feel, and reason"
woman,an adult female human being
guy,a man
each,every one of two more things
hard,something that is firm or difficult to bend
couple,two people or things being together
love,feel great affection for
speak,to use words to tell information or express thoughts
group,a number of people or things located or gathered together
together,to be with each other or in one group
high,rising upward a great distance
friend,a person who you like and enjoy being with
build,to construct by putting parts or materials together
family,a group of people who are related to each other
watch,to pay attention to what is happening
country,"an area, nation that is controlled by government"
plan,"a set of actions as a way to do, detailed proposal for doing"
fifty,the number 50
send,to cause to go to another destination
obviously,in a way that is easy to understand or see
reason,a cause for an action or event
yet,"until now, up until the present"
walk,"to move with your legs, to go on foot"
either,one or the other of two
wait,to stay or remain until an expected event happens
already,before this time
person,a human being
open,not closed
once,one time only
report,a story given about a particular matter
deal,to trade or do business with someone
stop,to not move or come to an end
hand,the body parts at the end of a person's arm
alright,"good enough, although not very good; safe or well"
example,a thing which is seen as a model
cause,something that produces an effect
information,"facts or data about a situation, person, event, etc."
please,used to ask for something in a polite way
exactly,completely correct
ago,in the past
room,a space that can be occupied which has its own floor and ceiling
answer,a reaction to a question someone asks
spend,to use money to pay for something
stay,to continue to be in the same place;  remain
rather,to a certain extent
certainly,used to emphasize something and show that there is no doubt about it; used to agree to a request
breath,the air that you take into your lungs and send out from your lungs when you breathe
while,"during the time that, at the same time"
everybody,every person;  everyone
clear,very obvious or easy to perceive
eat,to take food into your mouth and swallow it
perhaps,"possibly but not certainly, maybe"
early,"at or near the beginning of time, done before the expected time"
care,effort made to do something correctly or well
pick,to choose or select (someone or something) from a group 
type,a particular category of people or objects with a common characteristic
matter,the physical substance things are made of
such,like or similar
until,"up to, to indicate the point in time when a particular situation"
hope,"a feeling of expectation, to want something to happen"
level,a specific height or line
small,"little in size, not great in amount"
line,a long narrow mark or band on a surface
close,to move so that things cannot path through
phone,a communication system that is used to talk to someone who is in another place
least,"smallest in amount, extent or degree"
under,to be below something
someone,some person;  somebody
system,a set of related parts that move or work together
cost,the price of something
state,a way of living or existing
sometimes,"occasionally; only at certain times,"
paper,the material that is used in the form of thin sheets for writing
top,"the highest part, point, or level of something"
since,"because, for the reason that"
concern,a feeling of worry or anxiety
TRUE,"agreeing with the facts, not false, real or actual"
order,an instruction or direction that must be obeyed
government,the group of people who officially control a country
sound,something that is heard
tomorrow,the day after today
service,the action of helping or doing work for someone
wrong, not agreeing with the facts or truth : incorrect 
lose,to be unable to find something you once had
easy,"not hard to do, not difficult"
water,"the clear liquid which forms the seas, rivers and rain"
program,a plan of things that are done to achieve a result
parent,a person who is a father or mother
break,to separate into pieces
agree,to  the same opinion about something
business,"the activity of making, buying, selling or providing goods"
within,inside something
door,a movable entrance to a building or room
sense,one of our natural abilities for receiving information
drive,to control the movement of a car
stand,to be in an upright position supported by on your feet
basically,in the most important or fundamental ways
process,a series of actions that produce achievement
hold,to have or keep in your hand
cut,to use a sharp tool or object to open or divide something
moment,a very short or brief period of time
girl,"a female child,  a young woman"
past,a time before the present
without,"not having or including something, in the absence of"
learn,to acquire knowledge by study or experience
young,in an early stage of life  or growth
anybody,any person : anyone 
teacher,"someone whose job is to teach in a school, college, etc."
become,"to begin to be, grow to be, develop into"
member,a person or country belonging to a group or team
train,a group of connected vehicles traveling on railways
class,a group of students who often meet and are taught together
forty,the number 40
company,a business that sells thing or provides services
begin,"to do the first part of an action, to start"
fine,"good, acceptable, or satisfactory"
support,to give assistance to
world,the earth and all people and things on it
head,the upper part of the body
nineteen,the number 19
dad,father
view,an opinion or way of thinking
decide,to make a choice about something or choose after thinking
finish, to reach the end of (something) : to stop doing (something) because it is completed
expect,to be regarded as likely to happen
particular,used to single out an individual member
percent,a certain part of a whole
shop,a building or room where goods and services are sold
situation,"a condition, location or position"
involve,to have or include in a part of something
check,"to look at (something) carefully to find mistakes, problems, etc."
along,at a point on something
full,containing or holding as much as possible
form,"a type or kind of something, the visible shape, style"
sell,to exchange (something) for money
story,a description of how something happened
certain,not having any doubt about something
local,"relating or restricted to a particular area, city, or town"
ring,a piece of jewelry that is worn usually on a finger 
figure,a an amount that is expressed in numbers
twelve,the number 12
wonder,something that is very surprising or amazing
boy,"a male child or youth, a young man"
usually,in the way that most often happens
public,concerning or affecting all or most of the people in a group
less,"not so much, a smaller amount of"
worry,to think about problems or fears
yesterday,the day before today
funny,causing laughter 
road,a hard flat surface for people or vehicles can use
discussion,the act of talking about something with another person or a group of people : a conversation about something
front,the forward part of an object
record,an official piece of evidence or document about past events
across,from one side to the other of something
absolutely,completely
short,a small distance from one end to the other
policy,a course of action proposed by an organization
difficult,not easy : requiring much work or skill to do or make 
teach,to instruct or help to learn
mine,that which belongs to me : my one : my ones 
piece,a part that is cut or separated from a whole
provide,"to make available, to supply for use"
comment,to discuss or write an opinion on something
cover,put something over or on top of something else
mother,a female who has a child or children
almost,"only a little less than, nearly, not quite"
list,"a series of written names, words or numbers "
difference,a quality that is unlike something else
ninety,the number 90
against,in opposition to
forget,to be unable to think of or remember (something)
page,"one side of a sheet of paper especially in a book, magazine, etc. "
light,the form of energy that makes things visible
happy,feeling pleasure and enjoyment because of your life
yourself,the reflexive form of the pronoun 'you'
myself,the reflexive form of the pronouns 'me' or 'I'
dollar,"a basic unit of money in the U.S., Canada, Australia, and other countries that is equal to 100 cents"
cough,"to force air through your throat with a short, loud noise often because you are sick"
tape,"a long, narrow piece of material used to stick things"
allow,to permit or treat as acceptable
wear,to use or have as clothing over part of your body
forward,toward the front : to or toward what is ahead or in front 
follow,"to come after, to move or travel behind"
experience,the act of having things happen to you
clock,a device that shows what time it is and that is usually placed in a room or attached to a wall 
listen,"to pay attention to someone or something in order to hear what is being said, sung, played, etc. "
decision,a choice that you make about something after thinking about it
mention,"to talk about, write about, or refer to (something or someone) especially in a brief way "
somewhere,"in, at, or to a place not known, named, or specified "
eighty,the number 80
bloody,covered in blood; violent and involving a lot of blood and injuries
age,the amount of time a person has lived
outside,an area around or near something such as a building
letter,"a written, typed or printed message"
during,throughout the entire time
language,the system of words or signs that people use to express thoughts and feelings to each other 
card,"a small piece of stiff paper that is marked with symbols or pictures to show its value, comes in a set, and is used for playing games"
large,"great in size, extent, or capacity"
stick,a cut or broken branch or twig 
base,the bottom or lowest part of something : the part on which something rests or is supported 
picture,"a painting, drawing or photograph on paper or screen "
table,a piece of furniture with a flat top and legs
enjoy,to take pleasure in (something) 
party,an organization of people who have the same political beliefs
continue,to do something without stopping
pass,to move past something
add,to put something together with another thing
sixty,the number 60
often,"many times, frequently, on many occasions"
fall,to come or go down from a higher to a lower place
grow,to become larger
general,"widespread, normal or usual"
drink,to take a liquid into your mouth and swallow it
carry,to move something from one place to another
response, an answer or reaction to something that has been said or done
price,the amount of money that you pay for something or that something costs
include,to have as a part of a group
bed,a piece of furniture that people sleep on
position,the place something is located in
soon,at a time not long from now
suggest,to mention something as a possible thing to be done
office,a building of set of rooms used to do business or professional activities
possible,to be able to be done
fifteen,the number 15
sign,"something which shows that something else exists, is true, or will happen"
face,"the front part of a person's head, the surface of a thing"
draw,to produce by making lines on a paper
low,not rising or extending upward
although,"despite the fact that, however, "
dog,"a type of animal that is often kept as a pet or trained to work for people by guarding buildings, hunting, etc. "
present,"existing or happening now, not in the past or future"
amount,a quantity of something
market,a place that products are bought and sold
sing,to use your voice to make musical sounds in the form of a song or tune
save,"to keep (someone or something) safe : to stop (someone or something) from dying or being hurt, damaged, or lost "
game,one of the games that are part of a larger contest
lovely,attractive or beautiful especially in a graceful way 
choice, the act of choosing : the act of picking or deciding between two or more possibilities 
ready,prepared to do something
food,the things that people and animals eat
die,to stop living or end life
health,the condition of being well or free from disease
color,"a quality such as red, blue, green, etc."
community,a group of people who share a common idea or area
miss,"to fail to hit, catch, reach, or get (something)"
mathematics,the study or science of numbers and shapes
