Word,Definition
a,something that is being considered
able,"having the power, skill, money, or means to do something"
about,"on the subject of, or concerning something"
absolutely,completely
accept,to receive or take something that is offered
account,a story or report about something
across,from one side to the other of something
action,something that a person does
actually,used when you are saying what is the truth of a situation
add,to put something together with another thing
address,"the words and numbers that are used to describe the location of a building and that are written on letters, envelopes, and packages so that they can be mailed to that location "
affect,to make an effect on someone or something
after,"following in time, at a later time"
afternoon,the middle part of the day : the part of the day between noon and evening 
again,"one more time, once more"
against,in opposition to
age,the amount of time a person has lived
ago,in the past
agree,to  the same opinion about something
ahead,in or toward the front 
air,the invisible mixture of gases that we breathe
all,"the whole, entire or total amount"
allow,to permit or treat as acceptable
almost,"only a little less than, nearly, not quite"
along,at a point on something
already,before this time
alright,"good enough, although not very good; safe or well"
also,"in addition, too, in a similar way"
although,"despite the fact that, however, "
always,at all times
amount,a quantity of something
and,used to join words or groups of words
another,one more in addition
answer,a reaction to a question someone asks
any,used to refer to something not particular or specific
anybody,any person : anyone 
anyone,any person
anything,"a thing of any kind, used to refer to a thing, no matter what"
anyway,despite something that has been stated before 
apply,to ask formally for something such as a job
area,a part or section in a large place
around,located on every side or along something
as,used to refer to the same degree or amount
ask,to request
at,"used to indicate place, location, or arrival"
available,when something is there to be used easily
aware,knowing or feeling that something exists
away,at a distance from a particular person or place
awful,"very bad, of low quality, or unpleasant"
baby,a very young child
back,the rear surface of something
bad,"low or poor in quality, not correct or proper"
bag,"a container made of thin material (such as paper, plastic, or cloth) that opens at the top and is used for holding or carrying things "
base,the bottom or lowest part of something : the part on which something rests or is supported 
basically,in the most important or fundamental ways
be,used to show the identity of a thing
bear,to accept or endure difficulties
because,for a reason
become,"to begin to be, grow to be, develop into"
bed,a piece of furniture that people sleep on
before,"at an earlier time, in front of"
begin,"to do the first part of an action, to start"
behind,in or toward the back
believe,to accept that something is true
benefit,"a good result or effect, something helpful"
bet,"to risk money on the result of a game, competition, etc."
between,in the space that separates to objects
big,large in size or extent
bill,a document that says how much money you owe for something you have bought or used 
bit,a small piece of something
black,having the very dark color of coal or the night sky
bloody,covered in blood; violent and involving a lot of blood and injuries
board,"a long, thin, flat piece of wood "
body,a person's physical self
book,a printed or written work that is bound together and has a cover
both,used to emphasis two things at the same time
bother,to make someone feel worried or upset
bottom,"the lowest part, point, or level of something"
box,"a container that is made of a hard material (such as wood, metal, or cardboard) and that usually has four straight sides"
boy,"a male child or youth, a young man"
break,to separate into pieces
