TSL Word,TSL Definition
mister,a form of address for a man  
conference,an event where people exchange ideas
vacation,a holiday or break from work
client,someone who pays for a service
e-book,
airport,the place where you go to get on a plane
memo,a written reminder to do somethng
reservation,"to put something on hold for use later, e.g. car, hotel room"
logical,to do with reason
fax,to send using a fax machine
o'clock,the hour of the day
sincerely,with honesty
sometime,at some unknown point in time
website,a set of internet pages that give information about a particular person or organization
supervisor,the person who is in charge
candidate,a person being considered for a job or position in office
refund,give back money that has already been paid
goods,resources or things bought or sold
workshop,a building or room where things are made or repaired
downtown,the business or central part of a city or town
deadline,when something must be finished
invoice,a written request for payment for the goods and services listed
brochure,a small paper book that gives information about a product or service
noon,the middle of the day  
accountant,a person responsible for the money in a business
clerk,someone who works at a counter
lobby,the main area of a hotel just inside the entrance
publish,to print and distribute
résumé,
enclose,to surround fully
applicant,"a person who submits papers in order to do something, e.g. job applicant"
seminar,"a discussion session or class led by a teacher, or expert "
technician,someone who is trained with special skills to do practical work
cloth,a piece of thin material
fare,"the cost for a ride, e.g. bus, or taxi"
receipt,proof of payment
traveler,a tourist or adventurer who visits many countries
caller,the person that is phoning you
subway,a tunnel under the road for people to walk through
luggage,Bags and cases that you carry your clothes in when you go on a journey
shipment,"delivery of goods, e.g. carried by a large vehicle"
infer,to guess something with given information
waiter,a man whose job it is to bring meals to your table in a restaurant or cafe
rental,the act of paying for the use of something (as an apartment or house or car)  
warranty,the promise to repair or replace a product if it ceases to work properly
cafeteria,a restaurant where you serve yourself and pay a cashier  
chef,a person who cooks for a living
elevator,a machine that takes people to different floors in a building
reception,the act of greeting people
correctly,to do something the right way
lease,to rent
bicycle,a vehicle with two wheels and pedals 
notify,officially tell someone some information
preview,a chance to see something before it becomes generally available
attendant,someone who waits on or tends to the needs of another  
subscription,the amount of money that you pay to receive a service or product regularly
convenient,to be easy to do
manual,a book that explains how to do something
clue,"a hint, a tip"
garage,a place where you keep your car
obtain,to get
oval,A shape that looks like an egg
inventory,detailed list of everything included
outdoor,outside in the open air
suitcase,A large bag like container for carrying clothes when traveling
destination,the place you want to be at the end of a journey
occupation,profession or job
postpone,put off until a later time
contradict,to say the opposite of
umbrella,"something, like an organization, that covers a  similar range of things "
inference,the act of guessing something with given information
cellphone,phone that connects to the system by radio so that you can use it anywhere
compact,tightly packed in a small size
merchandise,goods for sale
receptionist,"someone who works at the front desk, e.g. secretary"
dentist,a person who looks after your teeth for a living
identification,"a document that shows who a person is,  e.g. passport, driver's licence"
coupon,a piece of paper that you can use to buy goods or to get them at a reduced price
depart,to leave
reschedule,to set a new time for something
tactic,like a plan or scheme
renovation,the process of being restored to a previous or better condition
upgrade,to improve what was old or outdated
precede,to happen before something else
replacement,to put something/someone in place of something/someone else
dine,have supper; eat dinner
passport,"official document containing information about you, that allows you to enter other countries"
coworker,a person that works with you in the same workplace
upcoming,happening soon
cabinet,a piece of furniture with shelves to store things
appliance,a machine or device that does a particular task
explanatory, to explain or make clear
instructor,someon who teaches for a living
keyboard,the part of computer that you type on 
media,"related to different forms of communication, e.g. radio, TV, newspapers etc."
supermarket,a large self-service store selling food and household items
valid,"just, fair, right"
admission,entrance into something
laptop,a computer small enough to carry and to use in your lap  
underline,to call attention to  
electrical,to do with electricity
airplane,a powered vehicle that flys through the air to its destination
assignment,a project or task
exit,to leave
attendee,someone present (at a meeting or event)
cruise,"a long, relaxing holiday on a ship"
birthday,the day in the year on which a person was born  
café,
comprehension,the act of understanding
mall,very large building containing lots of stores and restaurants
medication,a substance used to make an illness or condition get better
recycle,to find another use for something that is going to be put in the trash
renew,to make something new again
tenant,someone who pays rent for the use of property like land or rooms
sandwich,"two pieces of bread with a filling inside, e.g. meat or jam"
departure,the act of leaving
mini,smaller than is usual for a particular type of thing
fitness,the state of being healthy
inconvenience,something that causes trouble or discomfort
banquet,a formal meal given for a lot of people
closet,a small cupboard
unreal,not true to life
distractor,an incorrect option offered in a multiple choice question 
expire,Come to an end 
folder,a file or covering to keep papers in
photocopy,an exact copy of a document made with a photographic machine
renovate,restore to a previous or better condition
sunny,a day with no clouds or rain just sunshine
calendar,something you hang on the wall that has the months of the year on it
donation,the money that is given to a cause or charity
feedback,information given to the provider about how good or bad the goods or services were
shortly,very soon
snack,Small amount of food eaten between meals
warehouse,a building where a large number of things are stored while they are waiting to be sold
copier,a machine that makes paper copies
provider,"someone who takes care of others with money, food, home"
beverage,any liquid suitable for drinking
hungry,"in need of food, needing to eat"
inspection,a formal or official examination of something
recipient,the person who receives something  
aisle,long narrow area for walking between rows of something
inspect,look over carefully
mechanic,a person who fixes machinery for a living
merger,when one company buys another company to create one big company
